Date,Expenses,Category,Amount,Inflation,Income
15-01-2020,Education,Obligation,1530,0.37,7326
21-01-2020,Education,Obligation,1108.03,0.37,7326
12-02-2020,Education,Obligation,1530,0.42,8224.67
24-02-2020,Education,Obligation,1201.52,0.42,8224.67
26-02-2020,Education,Obligation,1530,0.42,8224.67
15-03-2020,Education,Obligation,1530,0.41,8707.52
22-03-2020,Education,Obligation,1018.81,0.41,8707.52
30-03-2020,Education,Obligation,1570,0.41,8707.52
14-04-2020,Education,Obligation,1570,0.41,9426
20-04-2020,Education,Obligation,1415.2,0.41,9426
01-05-2020,Education,Obligation,1030,0.41,11932
03-05-2020,Education,Obligation,1570,0.41,11932
01-06-2020,Education,Obligation,1030,0.37,7672
15-06-2020,Education,Obligation,1570,0.37,7672
20-06-2020,Education,Obligation,1357.3,0.37,7672
15-07-2020,Education,Obligation,1610,0.37,12666.8
21-07-2020,Education,Obligation,2285.04,0.37,12666.8
30-07-2020,Education,Obligation,2740,0.37,12666.8
14-08-2020,Education,Obligation,1610,0.44,10981.44
20-08-2020,Education,Obligation,1289.05,0.44,10981.44
28-08-2020,Education,Obligation,2740,0.44,10981.44
14-09-2020,Education,Obligation,1610,0.42,6681
20-09-2020,Education,Obligation,2374.86,0.42,6681
29-09-2020,Education,Obligation,2740,0.42,6681
14-10-2020,Education,Obligation,1610,0.4,7699.5
14-10-2020,Education,Obligation,1110,0.4,7699.5
29-10-2020,Education,Obligation,1110,0.4,7699.5
30-10-2020,Education,Obligation,1630,0.4,7699.5
13-11-2020,Education,Obligation,1630,0.37,12253
20-11-2020,Education,Obligation,1523.35,0.37,12253
28-11-2020,Education,Obligation,2260,0.37,12253
29-11-2020,Education,Obligation,1630,0.37,12253
04-12-2020,Education,Obligation,1632.5,0.31,16259.1
14-12-2020,Education,Obligation,2244.67,0.31,16259.1
14-12-2020,Education,Obligation,1480,0.31,16259.1
29-12-2020,Education,Obligation,1530,0.33,16259.1
15-01-2021,Education,Obligation,1950,0.37,16259.1
21-01-2021,Education,Obligation,1528.03,0.37,16477
12-02-2021,Education,Obligation,1950,0.42,16357
24-02-2021,Education,Obligation,1621.52,0.42,16357
26-02-2021,Education,Obligation,1950,0.42,16357
15-03-2021,Education,Obligation,1950,0.41,30942
22-03-2021,Education,Obligation,1438.81,0.41,30942
30-03-2021,Education,Obligation,1990,0.41,30942
14-04-2021,Education,Obligation,1990,0.41,20180.3
20-04-2021,Education,Obligation,1835.2,0.41,20180.3
01-05-2021,Education,Obligation,1450,0.41,24037.85
03-05-2021,Education,Obligation,1990,0.41,24037.85
01-06-2021,Education,Obligation,1450,0.37,30860
15-06-2021,Education,Obligation,1990,0.37,30860
20-06-2021,Education,Obligation,1777.3,0.37,30860
15-07-2021,Education,Obligation,2030,0.37,25794.6
21-07-2021,Education,Obligation,2705.04,0.37,25794.6
30-07-2021,Education,Obligation,3160,0.37,25794.6
14-08-2021,Education,Obligation,2030,0.44,36278.6
20-08-2021,Education,Obligation,1709.05,0.44,36278.6
28-08-2021,Education,Obligation,3160,0.44,36278.6
14-09-2021,Education,Obligation,2030,0.42,32644.5
20-09-2021,Education,Obligation,2794.86,0.42,32644.5
29-09-2021,Education,Obligation,3160,0.42,32644.5
14-10-2021,Education,Obligation,2030,0.4,34027.9
14-10-2021,Education,Obligation,1530,0.4,34027.9
29-10-2021,Education,Obligation,1530,0.4,34027.9
30-10-2021,Education,Obligation,2050,0.4,34027.9
13-11-2021,Education,Obligation,2050,0.37,36070.1
20-11-2021,Education,Obligation,1943.35,0.37,36070.1
28-11-2021,Education,Obligation,2680,0.37,36070.1
29-11-2021,Education,Obligation,2050,0.37,36070.1
04-12-2021,Education,Obligation,2052.5,0.31,55487.25
14-12-2021,Education,Obligation,2664.67,0.31,55487.25
14-12-2021,Education,Obligation,1900,0.31,55487.25
05-01-2022,Education,Obligation,1609.75,0.3,57234
