Date,Expenses,Category,Amount,Inflation,Income
15-01-2020,Entertainment,Obligation,1700,0.37,7326
21-01-2020,Entertainment,Obligation,1278.03,0.37,7326
12-02-2020,Entertainment,Obligation,1700,0.42,8224.67
24-02-2020,Entertainment,Obligation,1371.52,0.42,8224.67
26-02-2020,Entertainment,Obligation,1700,0.42,8224.67
01-03-2020,Entertainment,Obligation,1160,0.41,8707.52
15-03-2020,Entertainment,Obligation,1700,0.41,8707.52
14-04-2020,Entertainment,Obligation,1740,0.41,9426
20-04-2020,Entertainment,Obligation,1585.2,0.41,9426
01-05-2020,Entertainment,Obligation,1200,0.41,9426
03-05-2020,Entertainment,Obligation,1740,0.41,9426
01-06-2020,Entertainment,Obligation,1200,0.37,11932
15-06-2020,Entertainment,Obligation,1740,0.37,11932
15-07-2020,Entertainment,Obligation,1780,0.37,12666.8
21-07-2020,Entertainment,Obligation,2455.04,0.37,12666.8
30-07-2020,Entertainment,Obligation,2910,0.37,12666.8
14-08-2020,Entertainment,Obligation,1780,0.44,10981.44
20-08-2020,Entertainment,Obligation,1459.05,0.44,10981.44
28-08-2020,Entertainment,Obligation,2910,0.44,10981.44
14-09-2020,Entertainment,Obligation,1780,0.42,6681
20-09-2020,Entertainment,Obligation,2544.86,0.42,6681
29-09-2020,Entertainment,Obligation,2910,0.42,6681
14-10-2020,Entertainment,Obligation,1780,0.4,7699.5
14-10-2020,Entertainment,Obligation,1280,0.4,7699.5
29-10-2020,Entertainment,Obligation,1280,0.4,7699.5
13-11-2020,Entertainment,Obligation,1800,0.37,7699.5
20-11-2020,Entertainment,Obligation,1693.35,0.37,7699.5
28-11-2020,Entertainment,Obligation,2430,0.37,7699.5
29-11-2020,Entertainment,Obligation,1800,0.37,7699.5
04-12-2020,Entertainment,Obligation,1802.5,0.31,16259.1
14-12-2020,Entertainment,Obligation,2414.67,0.31,16259.1
29-12-2020,Entertainment,Obligation,1160,0.33,16259.1
15-01-2021,Entertainment,Obligation,1950,0.37,16259.1
21-01-2021,Entertainment,Obligation,1528.03,0.37,16477
12-02-2021,Entertainment,Obligation,1950,0.42,16357
24-02-2021,Entertainment,Obligation,1621.52,0.42,16357
26-02-2021,Entertainment,Obligation,1950,0.42,16357
01-03-2021,Entertainment,Obligation,1410,0.41,30942
15-03-2021,Entertainment,Obligation,1950,0.41,30942
14-04-2021,Entertainment,Obligation,1990,0.41,20180.3
20-04-2021,Entertainment,Obligation,1835.2,0.41,20180.3
01-05-2021,Entertainment,Obligation,1450,0.41,24037.85
03-05-2021,Entertainment,Obligation,1990,0.41,24037.85
01-06-2021,Entertainment,Obligation,1450,0.37,30860
15-06-2021,Entertainment,Obligation,1990,0.37,30860
15-07-2021,Entertainment,Obligation,2030,0.37,25794.6
21-07-2021,Entertainment,Obligation,2705.04,0.37,25794.6
30-07-2021,Entertainment,Obligation,3160,0.37,25794.6
14-08-2021,Entertainment,Obligation,2030,0.44,36278.6
20-08-2021,Entertainment,Obligation,1709.05,0.44,36278.6
28-08-2021,Entertainment,Obligation,3160,0.44,36278.6
14-09-2021,Entertainment,Obligation,2030,0.42,32644.5
20-09-2021,Entertainment,Obligation,2794.86,0.42,32644.5
29-09-2021,Entertainment,Obligation,3160,0.42,32644.5
14-10-2021,Entertainment,Obligation,2030,0.4,34027.9
14-10-2021,Entertainment,Obligation,1530,0.4,34027.9
29-10-2021,Entertainment,Obligation,1530,0.4,34027.9
13-11-2021,Entertainment,Obligation,2050,0.37,36070.1
20-11-2021,Entertainment,Obligation,1943.35,0.37,36070.1
28-11-2021,Entertainment,Obligation,2680,0.37,36070.1
29-11-2021,Entertainment,Obligation,2050,0.37,36070.1
04-12-2021,Entertainment,Obligation,2052.5,0.31,55487.25
14-12-2021,Entertainment,Obligation,2664.67,0.31,55487.25
05-01-2022,Entertainment,Obligation,1609.75,0.3,57234
15-01-2022,Entertainment,Obligation,2750,0.3,57234
15-01-2022,Entertainment,Obligation,789.25,0.3,57234
14-02-2022,Entertainment,Obligation,2684.67,0.4,57699
14-02-2022,Entertainment,Obligation,2770,0.4,57699
01-03-2022,Entertainment,Obligation,2770,0.4,56334
01-03-2022,Entertainment,Obligation,1550,0.4,56334
15-03-2022,Entertainment,Obligation,2120,0.4,56334
15-04-2022,Entertainment,Obligation,3570,0.49,56334
15-04-2022,Entertainment,Obligation,2120,0.49,56334
29-04-2022,Entertainment,Obligation,2704.67,0.49,56334
31-05-2022,Entertainment,Obligation,2772.67,0.54,58965
31-05-2022,Entertainment,Obligation,2713.01,0.54,58965
15-06-2022,Entertainment,Obligation,3638,0.61,59446
30-06-2022,Entertainment,Obligation,2772.67,0.61,59446
