Date,Expenses,Category,Amount,Inflation,Income
16-01-2020,Food/Drinks,Optional,2235,0.03,7326
16-01-2020,Food/Drinks,Optional,2339,0.03,7326
22-01-2020,Food/Drinks,Optional,2296,0.03,7326
23-01-2020,Food/Drinks,Optional,2235,0.03,7326
25-01-2020,Food/Drinks,Optional,2215,0.03,7326
29-01-2020,Food/Drinks,Optional,2339,0.03,7326
29-01-2020,Food/Drinks,Optional,2215,0.03,7326
31-01-2020,Food/Drinks,Optional,2205,0.03,7326
02-02-2020,Food/Drinks,Optional,2242,0.042,8224.67
03-02-2020,Food/Drinks,Optional,2230,0.042,8224.67
04-02-2020,Food/Drinks,Obligation,2230,0.042,8224.67
04-02-2020,Food/Drinks,Optional,2289,0.042,8224.67
05-02-2020,Food/Drinks,Optional,2211,0.042,8224.67
05-02-2020,Food/Drinks,Optional,2279,0.042,8224.67
06-02-2020,Food/Drinks,Optional,2230,0.042,8224.67
06-02-2020,Food/Drinks,Optional,2250,0.042,8224.67
07-02-2020,Food/Drinks,Optional,2260,0.042,8224.67
01-03-2020,Food/Drinks,Optional,2700,0.041,8707.52
02-03-2020,Food/Drinks,Optional,2939,0.041,8707.52
03-03-2020,Food/Drinks,Optional,2824,0.041,8707.52
04-03-2020,Food/Drinks,Optional,2907,0.041,8707.52
04-03-2020,Food/Drinks,Optional,2804,0.041,8707.52
05-03-2020,Food/Drinks,Optional,2875,0.041,8707.52
07-03-2020,Food/Drinks,Optional,2834,0.041,8707.52
08-03-2020,Food/Drinks,Optional,2879,0.041,8707.52
09-03-2020,Food/Drinks,Optional,2918,0.041,8707.52
01-04-2020,Food/Drinks,Optional,2911,0.041,9426
01-04-2020,Food/Drinks,Optional,2906,0.041,9426
04-04-2020,Food/Drinks,Optional,2905,0.041,9426
04-04-2020,Food/Drinks,Optional,2905,0.041,9426
10-04-2020,Food/Drinks,Optional,2935,0.041,9426
12-04-2020,Food/Drinks,Optional,2910,0.041,9426
13-04-2020,Food/Drinks,Optional,2906,0.041,9426
02-05-2020,Food/Drinks,Optional,2935,0.041,11932
06-05-2020,Food/Drinks,Optional,2923,0.041,11932
09-05-2020,Food/Drinks,Optional,2923,0.041,11932
14-05-2020,Food/Drinks,Optional,2926,0.041,11932
17-05-2020,Food/Drinks,Optional,2905,0.041,11932
20-05-2020,Food/Drinks,Survival,3003,0.041,11932
22-05-2020,Food/Drinks,Optional,2925,0.041,11932
30-05-2020,Food/Drinks,Optional,3010,0.041,11932
05-06-2020,Food/Drinks,Survival,3113,0.37,7672
06-06-2020,Food/Drinks,Optional,3035,0.37,7672
12-06-2020,Food/Drinks,Optional,3025,0.37,7672
15-06-2020,Food/Drinks,Optional,3003,0.37,7672
25-06-2020,Food/Drinks,Optional,3005,0.37,7672
02-07-2020,Food/Drinks,Survival,3119,0.37,12666.8
06-07-2020,Food/Drinks,Survival,3130,0.37,12666.8
07-07-2020,Food/Drinks,Survival,3100,0.37,12666.8
08-07-2020,Food/Drinks,Survival,3099,0.37,12666.8
09-07-2020,Food/Drinks,Survival,3086,0.37,12666.8
10-07-2020,Food/Drinks,Survival,3089,0.37,12666.8
13-07-2020,Food/Drinks,Survival,3379,0.37,12666.8
14-07-2020,Food/Drinks,Survival,3379,0.37,12666.8
03-08-2020,Food/Drinks,Optional,3320,0.44,10981.44
07-08-2020,Food/Drinks,Survival,3490,0.44,10981.44
08-08-2020,Food/Drinks,Survival,3490,0.44,10981.44
11-08-2020,Food/Drinks,Survival,3490,0.44,10981.44
12-08-2020,Food/Drinks,Survival,3490,0.44,10981.44
