Date,Expenses,Category,Amount,Inflation,Income
15-01-2020,Entertainment,Obligation,1440,0.37,7326
21-01-2020,Entertainment,Obligation,1018.03,0.37,7326
12-02-2020,Entertainment,Obligation,1440,0.42,8224.67
24-02-2020,Entertainment,Obligation,1111.52,0.42,8224.67
26-02-2020,Entertainment,Obligation,1440,0.42,8224.67
01-03-2020,Entertainment,Obligation,900,0.41,8707.52
15-03-2020,Entertainment,Obligation,1440,0.41,8707.52
14-04-2020,Entertainment,Obligation,1480,0.41,9426
20-04-2020,Entertainment,Obligation,1325.2,0.41,9426
01-05-2020,Entertainment,Obligation,940,0.41,9426
03-05-2020,Entertainment,Obligation,1480,0.41,9426
01-06-2020,Entertainment,Obligation,940,0.37,11932
15-06-2020,Entertainment,Obligation,1480,0.37,11932
15-07-2020,Entertainment,Obligation,1520,0.37,12666.8
21-07-2020,Entertainment,Obligation,2195.04,0.37,12666.8
30-07-2020,Entertainment,Obligation,2650,0.37,12666.8
14-08-2020,Entertainment,Obligation,1520,0.44,10981.44
20-08-2020,Entertainment,Obligation,1199.05,0.44,10981.44
28-08-2020,Entertainment,Obligation,2650,0.44,10981.44
14-09-2020,Entertainment,Obligation,1520,0.42,6681
20-09-2020,Entertainment,Obligation,2284.86,0.42,6681
29-09-2020,Entertainment,Obligation,2650,0.42,6681
14-10-2020,Entertainment,Obligation,1520,0.4,7699.5
14-10-2020,Entertainment,Obligation,1020,0.4,7699.5
29-10-2020,Entertainment,Obligation,1020,0.4,7699.5
13-11-2020,Entertainment,Obligation,1540,0.37,7699.5
20-11-2020,Entertainment,Obligation,1433.35,0.37,7699.5
28-11-2020,Entertainment,Obligation,2170,0.37,7699.5
29-11-2020,Entertainment,Obligation,1540,0.37,7699.5
04-12-2020,Entertainment,Obligation,1542.5,0.31,16259.1
14-12-2020,Entertainment,Obligation,2154.67,0.31,16259.1
29-12-2020,Entertainment,Obligation,900,0.33,16259.1
04-02-20,Medicine,Obligation,1207.36,0.03,7326
29-12-20,Medicine,Obligation,1870.4,0.33,16259.1
15-01-21,Medicine,Obligation,1870.4,0.37,16259.1
21-01-21,Medicine,Obligation,1397.7936,0.37,16477
29-01-21,Medicine,Obligation,1870.4,0.37,16477
29-01-21,Medicine,Obligation,1265.6,0.37,16477
12-02-21,Medicine,Obligation,1870.4,0.42,16357
01-03-21,Medicine,Obligation,1265.6,0.41,30942
15-03-21,Medicine,Obligation,1870.4,0.41,30942
30-03-21,Medicine,Obligation,1265.6,0.41,30942
14-04-21,Medicine,Obligation,1870.4,0.41,20180.3
20-04-21,Medicine,Obligation,1697.024,0.41,20180.3
01-05-21,Medicine,Obligation,1265.6,0.41,24037.85
16-05-21,Medicine,Obligation,1870.4,0.41,24037.85
01-06-21,Medicine,Obligation,1265.6,0.37,30860
15-07-21,Medicine,Obligation,1870.4,0.37,25794.6
21-07-21,Medicine,Obligation,2626.4448,0.37,25794.6
30-07-21,Medicine,Obligation,3136,0.37,25794.6
14-08-21,Medicine,Obligation,1870.4,0.44,36278.6
14-09-21,Medicine,Obligation,1870.4,0.42,32644.5
20-09-21,Medicine,Obligation,2727.0432,0.42,32644.5
14-10-21,Medicine,Obligation,1870.4,0.4,34027.9
14-10-21,Medicine,Obligation,1288,0.4,34027.9
29-10-21,Medicine,Obligation,1288,0.4,34027.9
30-10-21,Medicine,Obligation,1870.4,0.4,34027.9
13-11-21,Medicine,Obligation,1870.4,0.37,36070.1
04-12-21,Medicine,Obligation,1873.2,0.31,55487.25
29-12-21,Medicine,Obligation,4032,0.31,55487.25
05-01-22,Medicine,Obligation,1354.92,0.3,57234
29-01-22,Medicine,Obligation,3897.6,0.3,57234
14-02-22,Medicine,Obligation,2558.8304,0.4,57699
14-02-22,Medicine,Obligation,2632,0.4,57699
01-03-22,Medicine,Obligation,2632,0.4,56334
01-03-22,Medicine,Obligation,1265.6,0.4,56334
15-04-22,Medicine,Obligation,3528,0.49,56334
15-04-22,Medicine,Obligation,1904,0.49,56334
29-04-22,Medicine,Obligation,2558.8304,0.49,56334
15-05-22,Medicine,Obligation,1904,0.54,58965
15-05-22,Medicine,Obligation,3528,0.54,58965
31-05-22,Medicine,Obligation,2558.8304,0.54,58965
31-05-22,Medicine,Obligation,2392.0112,0.54,58965
15-06-22,Medicine,Obligation,3528,0.61,59446
15-07-22,Medicine,Obligation,2558.8304,0.61,60434
15-07-22,Medicine,Obligation,3527.0368,0.61,60434
15-08-22,Medicine,Obligation,3527.0368,0.63,60566
16-08-22,Medicine,Obligation,3542.56,0.63,60566
16-08-22,Medicine,Obligation,2558.8304,0.63,60566
30-09-22,Medicine,Obligation,2390.08,0.69,60123
05-10-22,Medicine,Obligation,2599.52,0.77,61234
09-10-22,Medicine,Obligation,1380.96,0.77,61234
12-10-22,Medicine,Obligation,2723.84,0.77,61234
02-11-22,Medicine,Obligation,2624.16,0.8,61245
07-11-22,Medicine,Obligation,2875.04,0.8,61245
10-12-22,Medicine,Obligation,2626.4,0.81,62189
14-12-22,Medicine,Obligation,2588.32,0.81,62189
15-01-2023,Entertainment,Obligation,2450,0.37,63000
21-01-2023,Entertainment,Obligation,2428.03,0.37,63000
12-02-2023,Entertainment,Obligation,2150,0.42,63000
24-02-2023,Entertainment,Obligation,2121.52,0.42,63000
26-02-2023,Entertainment,Obligation,2250,0.42,63000
01-03-2023,Entertainment,Obligation,2410,0.41,63000
15-03-2023,Entertainment,Obligation,2550,0.41,63000
16-03-2023,Entertainment,Obligation,2550,0.41,63000
