Date,Expenses,Category,Amount,Inflation,Income
15-01-20,Personal Care,Obligation,1310.4,0.37,7326
21-01-20,Personal Care,Obligation,1310.4,0.37,7326
29-01-20,Personal Care,Obligation,1310.4,0.37,7326
29-01-20,Personal Care,Obligation,1310,0.37,7326
12-02-20,Personal Care,Obligation,1280.4,0.42,8224.67
01-03-20,Personal Care,Obligation,1480.4,0.41,8707.52
15-03-20,Personal Care,Obligation,1530.4,0.41,8707.52
14-04-20,Personal Care,Obligation,1400,0.41,9426
20-04-20,Personal Care,Obligation,1450,0.41,9426
01-05-20,Personal Care,Obligation,1430,0.41,11932
16-05-20,Personal Care,Obligation,1340,0.41,11932
01-06-20,Personal Care,Obligation,1330,0.37,7672
15-07-20,Personal Care,Obligation,1540,0.37,12666.8
30-07-20,Personal Care,Obligation,1440,0.37,12666.8
14-08-20,Personal Care,Obligation,1530,0.44,10981.44
14-09-20,Personal Care,Obligation,1320.4,0.42,6681
20-09-20,Personal Care,Obligation,1530,0.42,6681
14-10-20,Personal Care,Obligation,1280,0.4,7699.5
29-10-20,Personal Care,Obligation,1440,0.4,7699.5
13-11-20,Personal Care,Obligation,1465,0.37,12253
29-12-20,Personal Care,Obligation,1452,0.31,16259.1
15-01-21,Personal Care,Obligation,1630.4,0.37,16477
21-01-21,Personal Care,Obligation,1670.4,0.37,16477
29-01-21,Personal Care,Obligation,1570.4,0.37,16477
29-01-21,Personal Care,Obligation,1470,0.37,16477
12-02-21,Personal Care,Obligation,1340.4,0.42,16357
01-03-21,Personal Care,Obligation,1540.4,0.41,16357
15-03-21,Personal Care,Obligation,1640.4,0.41,16357
14-04-21,Personal Care,Obligation,1760,0.41,20180.3
20-04-21,Personal Care,Obligation,1570,0.41,20180.3
01-05-21,Personal Care,Obligation,1450,0.41,24037.85
16-05-21,Personal Care,Obligation,1660,0.41,24037.85
01-06-21,Personal Care,Obligation,1550,0.37,30860
15-07-21,Personal Care,Obligation,1490,0.37,25794.6
30-07-21,Personal Care,Obligation,1470,0.37,25794.6
14-08-21,Personal Care,Obligation,1490,0.44,36278.6
14-09-21,Personal Care,Obligation,1490.4,0.42,32644.5
20-09-21,Personal Care,Obligation,1490,0.42,32644.5
14-10-21,Personal Care,Obligation,1530,0.4,34027.9
29-10-21,Personal Care,Obligation,1580,0.4,34027.9
13-11-21,Personal Care,Obligation,1740,0.37,36070.1
29-12-21,Personal Care,Obligation,1632,0.31,55487.25
05-01-22,Personal Care,Obligation,1542,0.3,57234
29-01-22,Personal Care,Obligation,1462,0.3,57234
14-02-22,Personal Care,Obligation,1450,0.4,57699
14-02-22,Personal Care,Obligation,1470,0.4,57699
01-03-22,Personal Care,Obligation,1470,0.4,56334
01-03-22,Personal Care,Obligation,1350,0.4,56334
15-04-22,Personal Care,Obligation,1490,0.49,56334
15-04-22,Personal Care,Obligation,1670,0.49,56334
29-04-22,Personal Care,Obligation,1530,0.49,56334
15-05-22,Personal Care,Obligation,1920,0.54,58965
15-05-22,Personal Care,Obligation,1900,0.54,58965
31-05-22,Personal Care,Obligation,1480,0.54,58965
15-06-22,Personal Care,Obligation,1440,0.61,59446
15-07-22,Personal Care,Obligation,1580,0.61,60434
15-07-22,Personal Care,Obligation,1540,0.61,60434
15-08-22,Personal Care,Obligation,1470,0.63,60566
16-08-22,Personal Care,Obligation,1720,0.63,60566
16-08-22,Personal Care,Obligation,1830,0.63,60566
30-09-22,Personal Care,Obligation,1780,0.69,60123
05-10-22,Personal Care,Obligation,1560,0.77,61234
09-10-22,Personal Care,Obligation,1270,0.77,61234
12-10-22,Personal Care,Obligation,1530,0.77,61234
10-12-22,Personal Care,Obligation,1470,0.81,62189
14-12-22,Personal Care,Obligation,1560,0.81,62189
15-01-23,Personal Care,Obligation,1643.4,0.37,70000
21-01-23,Personal Care,Obligation,1540.4,0.37,70000
29-01-23,Personal Care,Obligation,1432.4,0.37,70000
29-01-23,Personal Care,Obligation,1456,0.37,70000
12-02-23,Personal Care,Obligation,1943.4,0.42,70000
13-02-23,Personal Care,Obligation,1530.4,0.42,70000
14-02-23,Personal Care,Obligation,1680.4,0.42,70000
01-03-23,Personal Care,Obligation,1580.4,0.41,70000
15-03-23,Personal Care,Obligation,1250.4,0.41,70000
